Southend-on-Sea City Libraries,,,,Monthly loans April 2023 - March 2024,,,,,,
,,,,,,,,,,
DATE,Kent Elms,Leigh,Shoeburyness,Southchurch,The Forum,South East College held at Southend Forum,University of Essex held at Southend Forum,Web (renewals),Westcliff,Total
2023-04,3316,4672,2949,2251,17452,0,3,7327,3478,41448
2023-05,3366,3754,3168,1815,15960,4,2,8180,2915,39164
2023-06,2841,3764,2676,1995,14102,5,0,7188,2801,35372
2023-07,4412,6069,4206,3190,15358,0,0,7447,4541,45223
2023-08,4664,6424,4647,3228,14485,0,0,8596,5082,47126
2023-09,3592,4277,3252,2094,11476,1,0,8370,3308,36370
2023-10,3280,4439,2986,2063,15087,0,4,8678,3489,40026
2023-11,3180,3864,2890,1810,14534,0,0,8058,3166,37502
2023-12,2757,3496,2583,1500,6665,0,2,8322,2487,27812
2024-01,3567,3991,3267,1944,8755,3,5,8167,3472,33171
2024-02,3621,4433,3016,1744,8636,11,0,7404,3529,32394
2024-03,3280,3939,3019,2067,7925,0,5,8439,3419,32093
