Loans By Month CBC 01/04/23-31/03/24,,,,,,,,,,,,,
,,,,,,,,,,,,,
Library,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Grand Total
Ampthill Library,3469,3551,3231,4166,5008,3999,3591,3362,3051,3205,2936,3213,42782
Arlesey Resource Centre,644,665,600,735,865,598,661,587,586,884,794,692,8311
Barton Library,2693,2344,2664,3037,3956,3004,2854,2834,2390,616,1853,2924,31169
Biggleswade Library,1038,1069,1212,1179,1596,1369,4241,8162,7463,8726,8893,9150,54098
Dunstable Library,11518,11195,11166,14304,15927,12580,12726,11425,9763,11991,9362,10699,142656
Flitwick Library,8730,9081,7710,9466,11834,8697,8899,8874,7122,9118,8129,8717,106377
Houghton Regis Library,3545,3390,3258,3921,4824,3672,3499,3419,3129,3445,3641,3669,43412
Leighton Buzzard Library,15164,14788,13985,16891,20619,15929,15563,14179,12966,15414,14278,14943,184719
Potton Library,2195,2074,2059,2569,3428,2635,2345,2097,1690,1959,2063,2098,27212
Sandy Library,5580,5538,5036,6880,9038,5811,5132,4680,4243,5176,4797,4637,66548
Shefford Library,5732,5558,5211,6492,8127,5946,5556,5440,4904,5727,5388,5271,69352
Stotfold Library,2455,2383,2438,3424,4027,3011,2603,2609,2295,2604,2686,2735,33270
Toddington Library,2134,1970,1973,2376,2782,2293,2332,2287,2185,2257,2070,2210,26869
Grand Total,64897,63606,60543,75440,92031,69544,70002,69955,61787,71122,66890,70958,836775
