Reservations by Month CBC 01/04/23 to 31/03/24,,,,,,,,,,,,,
,,,,,,,,,,,,,
Library,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Grand Total
Ampthill Library,329,299,250,261,326,307,284,225,188,292,298,324,3383
Arlesey Resource Centre,91,66,86,100,143,117,101,79,39,111,111,85,1129
Barton Library,272,232,225,263,313,254,250,262,215,114,205,244,2849
Biggleswade Library,372,536,492,579,575,488,425,520,455,747,648,737,6574
Dunstable Library,764,909,757,955,968,873,886,810,567,870,766,840,9965
Flitwick Library,815,742,775,808,926,763,879,1250,858,1493,1181,1368,11858
Houghton Regis Library,372,215,290,329,438,331,246,285,188,437,347,311,3789
Leighton Buzzard Library,822,798,863,941,1081,976,908,884,679,1092,948,1091,11083
Potton Library,155,139,184,204,260,219,260,238,141,167,239,254,2460
Sandy Library,549,622,580,623,734,647,665,516,524,628,569,634,7291
Shefford Library,466,465,458,578,520,562,533,517,480,480,501,521,6081
Stotfold Library,210,313,289,308,306,355,340,305,279,373,320,317,3715
Toddington Library,142,207,140,162,214,197,262,195,152,244,181,222,2318
Grand Total,5359,5543,5389,6111,6804,6089,6039,6086,4765,7048,6314,6948,72495
