Library Visitors,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,Total
Hereford Visitors,"3,042","2,756","2,604","3,092","2,981","3,198","3,520","5,381","4,746","6,354","6,240","5,000",48914
Leominster Visitors,"4,306","3,858","4,024","4,250","4,247","4,519","3,987","3,631","3,745","3,408","3,471","3,829",47275
Ross-On-Wye Visitors,"4,372","4,302","4,423","4,774","4,795","5,409","4,940","4,718","3,777","4,616","4,417","4,037",54580
Ledbury Visitors,"5,244","5,286","4,635","5,245","4,882","6,505","5,197","3,932","4,598","5,501","5,001","5,256",61282
Bromyard Visitors,"1,262","1,059","1,061","1,118","1,030","1,174","1,364","1,284","1,058","1,426","1,424","1,592",14852
Kington Visitors,759,801,684,813,878,936,849,773,659,714,733,849,9448
Belmont Visitors,783,852,761,872,"1,046",903,863,818,599,830,670,832,9829
Colwall Visitors,818,722,706,737,643,865,785,649,624,813,657,746,8765
Weobley Visitors,156,121,145,188,196,165,179,124,108,128,100,158,1768
Leintwardine Visitors,137,133,111,140,162,145,182,117,92,99,124,132,1574
Peterchurch Visitors,84,84,96,105,129,122,85,101,60,79,75,82,1102
Totals,20963,19974,19250,21334,20989,23941,21951,21528,20066,23968,22912,22513,259389
